edo,2024-04-02 15:24:14.590161,in
edo,2024-04-02 15:24:54.371049,in
edo,2024-04-02 15:25:08.211743,out
a,2024-04-04 07:48:02.815491,in
a,2024-04-04 07:48:11.201141,in
a,2024-04-04 07:48:15.339070,in
a,2024-04-04 07:48:17.983312,in
a,2024-04-04 07:48:47.010675,in
a,2024-04-04 07:49:01.394725,in
a,2024-04-04 07:49:23.395561,in
a,2024-04-04 07:49:29.751369,out
a,2024-04-04 07:49:38.273359,in
a,2024-04-04 07:49:55.823763,in
a,2024-04-04 07:50:01.887949,in
a,2024-04-04 07:50:16.459429,in
a,2024-04-04 07:50:22.787769,in
a,2024-04-04 07:50:31.327604,in
a,2024-04-04 07:51:10.910412,in
a,2024-04-04 07:54:03.004489,in
a,2024-04-04 07:54:09.499230,in
a,2024-04-04 07:54:12.896561,in
a,2024-04-04 08:01:51.124081,out
a,2024-04-04 08:01:54.065095,in
a,2024-04-04 08:02:13.674733,out
a,2024-04-04 08:02:17.175733,in
a,2024-04-04 08:02:21.786066,in
b,2024-04-04 08:12:42.152390,in
b,2024-04-04 08:12:57.572163,in
b,2024-04-04 08:13:01.958655,in
b,2024-04-04 08:13:04.552870,out
b,2024-04-04 08:13:08.515973,in
b,2024-04-04 08:13:14.619554,in
b,2024-04-04 08:13:17.189756,in
b,2024-04-04 08:13:28.069550,in
b,2024-04-04 08:18:54.778701,in
amel,2024-04-04 08:21:38.543927,in
davin,2024-04-04 08:21:50.151608,in
amel,2024-04-04 08:22:19.405370,in
davin,2024-04-04 13:23:06.236201,in
davin,2024-04-04 13:23:14.403335,in
davin,2024-04-04 13:24:36.234209,in
davin,2024-04-04 13:24:36.690457,in
davin,2024-04-04 13:24:37.312690,in
davin,2024-04-04 13:24:41.557331,in
davin,2024-04-04 13:24:42.477008,in
davin,2024-04-04 13:24:43.281259,in
amel,2024-04-04 13:24:43.742933,in
davin,2024-04-04 13:24:44.201066,in
davin,2024-04-04 13:24:54.475911,in
davin,2024-04-04 13:24:55.097442,in
davin,2024-04-04 13:25:03.583217,in
davin,2024-04-04 13:25:04.045123,in
davin,2024-04-04 13:25:04.503797,in
davin,2024-04-04 13:25:04.970859,in
davin,2024-04-04 13:25:05.412784,in
davin,2024-04-04 13:25:05.875308,in
davin,2024-04-04 13:25:06.329937,in
davin,2024-04-04 13:25:06.775300,in
davin,2024-04-04 13:25:07.420199,in
davin,2024-04-04 13:25:07.880333,in
davin,2024-04-04 13:25:08.347041,in
davin,2024-04-04 13:25:09.333085,in
davin,2024-04-04 13:25:14.488760,in
amel,2024-04-04 13:25:32.750755,in
amel,2024-04-04 13:25:33.843590,in
amel,2024-04-04 13:25:35.081245,in
amel,2024-04-04 13:25:40.884144,in
amel,2024-04-04 13:25:41.335153,in
amel,2024-04-04 13:25:41.789637,in
amel,2024-04-04 13:25:42.247983,in
amel,2024-04-04 13:25:43.164313,in
amel,2024-04-04 13:25:43.615946,in
amel,2024-04-04 13:25:44.074780,in
amel,2024-04-04 13:25:44.532947,in
amel,2024-04-04 13:25:44.992033,in
amel,2024-04-04 13:25:45.455020,in
amel,2024-04-04 13:25:52.822439,in
davin,2024-04-04 13:26:07.684339,in
davin,2024-04-04 13:26:08.175546,in
davin,2024-04-04 13:26:09.114517,in
davin,2024-04-04 13:26:09.577533,in
davin,2024-04-04 13:26:10.548100,in
davin,2024-04-04 13:26:11.263456,in
davin,2024-04-04 13:26:11.809926,in
davin,2024-04-04 13:26:13.830940,in
davin,2024-04-04 13:26:14.777074,in
davin,2024-04-04 13:26:15.233961,in
davin,2024-04-04 13:26:15.696646,in
davin,2024-04-04 13:26:16.633698,in
davin,2024-04-04 13:26:22.737039,in
davin,2024-04-04 13:26:23.582421,in
davin,2024-04-04 13:26:24.572425,in
davin,2024-04-04 13:26:25.043647,in
davin,2024-04-04 13:26:26.313920,in
davin,2024-04-04 13:26:26.925263,in
davin,2024-04-04 13:26:27.535133,in
davin,2024-04-04 13:26:28.315968,in
davin,2024-04-04 13:26:28.779541,in
davin,2024-04-04 13:26:29.400950,in
davin,2024-04-04 13:26:30.036162,in
davin,2024-04-04 13:26:30.504471,in
davin,2024-04-04 13:26:42.086161,in
davin,2024-04-04 13:26:47.689499,in
davin,2024-04-04 13:26:48.700599,in
davin,2024-04-04 13:26:50.153802,in
davin,2024-04-04 13:27:14.556035,in
davin,2024-04-04 13:27:17.192858,in
davin,2024-04-04 13:27:36.390663,in
davin,2024-04-04 13:27:36.899672,in
davin,2024-04-04 13:27:37.975314,in
davin,2024-04-04 13:27:38.510172,in
davin,2024-04-04 13:27:39.052005,in
davin,2024-04-04 13:27:39.558219,in
davin,2024-04-04 13:27:40.072490,in
davin,2024-04-04 13:27:40.616537,in
davin,2024-04-04 13:27:41.148813,in
davin,2024-04-04 13:27:41.688239,in
davin,2024-04-04 13:27:42.201192,in
davin,2024-04-04 13:27:43.974304,in
